"Source1","Source2"
"Kurana-GM0031-18G/930-23-ODU-1(RTNRF-1)","Airport_Jn-GM0002-18G/930-23-ODU-1(RTNRF-1)"
,
"Kurana-GM0031-18G/930-24-ODU-1(RTNRF-1)","Airport_Jn-GM0002-18G/930-24-ODU-1(RTNRF-1)"
,
"Minuwangate-KU0067-7G/735-23-ODU-1(RTNRF-1)","Nelliya-KU0344-7G/735-23-ODU-1(RTNRF-1)"
,
"Chunnakam_DTP-JA0011-23G/840-23-ODU-1(RTNRF-1)","Mallakam-JA0031-23G/840-23-ODU-1(RTNRF-1)"
,
"Kunchikulama-AN0067-15G/883-23-ODU-1(RTNRF-1)","Maradankadawala-AN0010-15G/883-23-ODU-1(RTNRF-1)"
,
"Meesalai-JA0051-23G/1535-23-ODU-1(RTNRF-1)","Allarai-JA0158-23G/1535-23-ODU-1(RTNRF-1)"
,
"Kumburupiddy_Dialog-TR0034-15G/876-23-ODU-1(RTNRF-1)","Kuchchiweli_Dialog-TR0020-15G/876-23-ODU-1(RTNRF-1)"
,
"Nelukkulam-VA0005-15G/596-23-ODU-1(RTNRF-1)","Irattaperiyakulama_Dialog-VA0072-15G/596-23-ODU-1(RTNRF-1)"
,
"Nelukkulam-VA0005-15G/596-24-ODU-1(RTNRF-1)","Irattaperiyakulama_Dialog-VA0072-15G/596-24-ODU-1(RTNRF-1)"
,
"Bamunukotuwa-KU0102-18G/1439-23-ODU-1(RTNRF-1)","Wariyapola_DTL-KU0112-18G/1439-23-ODU-1(RTNRF-1)"
,
"Bamunukotuwa-KU0102-18G/1439-24-ODU-1(RTNRF-1)","Wariyapola_DTL-KU0112-18G/1439-24-ODU-1(RTNRF-1)"
,
"Uduppiddy-JA0050-23G/855-23-ODU-1(RTNRF-1)","Valvetithurai-JA0016-23G/855-23-ODU-1(RTNRF-1)"
,
"Uduppiddy-JA0050-23G/855-24-ODU-1(RTNRF-1)","Valvetithurai-JA0016-23G/855-24-ODU-1(RTNRF-1)"
,
"Ganewatta_Mobitel-GM0311-18G/1599-23-ODU-1(RTNRF-1)","Biyagama-GM0005-18G/1599-23-ODU-1(RTNRF-1)"
,
"Ganewatta_Mobitel-GM0311-18G/1599-24-ODU-1(RTNRF-1)","Biyagama-GM0005-18G/1599-24-ODU-1(RTNRF-1)"
,
"Cyril_C_Perera_Mw-CM0302-26G/838-23-ODU-1(RTNRF-1)","Grandpass-CM0027-26G/838-23-ODU-1(RTNRF-1)"
,
"Cyril_C_Perera_Mw-CM0302-26G/838-24-ODU-1(RTNRF-1)","Grandpass-CM0027-26G/838-24-ODU-1(RTNRF-1)"
,
"Kodikamam_East-JA0152-23G/1420-23-ODU-1(RTNRF-1)","Kodikamam-JA0052-23G/1420-23-ODU-1(RTNRF-1)"
,
"Kodikamam_East-JA0152-23G/1420-24-ODU-1(RTNRF-1)","Kodikamam-JA0052-23G/1420-24-ODU-1(RTNRF-1)"
,
"Kalubowila_N-CM0039-26G/1357-23-ODU-1(RTNRF-1)","Balapokuna-CM0004-26G/1357-23-ODU-1(RTNRF-1)"
,
"Kalubowila_N-CM0039-26G/1357-24-ODU-1(RTNRF-1)","Balapokuna-CM0004-26G/1357-24-ODU-1(RTNRF-1)"
,
"Maliban-CM0153-26G/782-23-ODU-1(RTNRF-1)","Pettah_Bus_Stand-CM1064-26G/782-23-ODU-1(RTNRF-1)"
,
"Maliban-CM0153-26G/782-24-ODU-1(RTNRF-1)","Pettah_Bus_Stand-CM1064-26G/782-24-ODU-1(RTNRF-1)"
,
"Kiridiweka Suntel - GM0544-18G/1900-23-ODU-1(RTNRF-1)","Urapola DAP-GM0477-18G/1900-23-ODU-1(RTNRF-1)"
,
"Navakkeeri-JA0140-18G/1482-23-ODU-1(RTNRF-1)","Punnalaikkadduvan-JA0042-18G/1482-23-ODU-1(RTNRF-1)"
,
"Kurukulawa-GM0190-23G/581-23-ODU-1(RTNRF-1)","Ragama-GM0042-23G/581-23-ODU-1(RTNRF-1)"
,
"Kurukulawa-GM0190-23G/581-24-ODU-1(RTNRF-1)","Ragama-GM0042-23G/581-24-ODU-1(RTNRF-1)"
,
"Agbopura-TR0023-18G/1567-23-ODU-1(RTNRF-1)","Kanthale_SLT-TR0003-18G/1567-23-ODU-1(RTNRF-1)"
,
"Agbopura-TR0023-18G/1567-24-ODU-1(RTNRF-1)","Kanthale_SLT-TR0003-18G/1567-24-ODU-1(RTNRF-1)"
,
"BATTARMULLA-CM0127-23G/1750-HY-23-ODU-1(RTNRF-1)","PIPE_ ROAD-CM1446-23G/1750-HY-23-ODU-1(RTNRF-1)"
,
"BATTARMULLA-CM0127-23G/1750-HY-24-ODU-1(RTNRF-1)","PIPE_ ROAD-CM1446-23G/1750-HY-24-ODU-1(RTNRF-1)"
,
"Heenatiyana-GM0184-18G/907-23-ODU-1(RTNRF-1)","Peellawatta-GM0117-18G/907-23-ODU-1(RTNRF-1)"
,
"Heenatiyana-GM0184-18G/907-24-ODU-1(RTNRF-1)","Peellawatta-GM0117-18G/907-24-ODU-1(RTNRF-1)"
,
"Nelliady_South-JA0111-26G/737-23-ODU-1(RTNRF-1)","Nelliady-JA0103-26G/737-23-ODU-1(RTNRF-1)"
,
