"cell_tower_id1","cell_tower_id2","source1_name","source2_name","district1","district2","latitude1","latitude2","longitude1","longitude2","nearest_precip_station","distance","nearest_precip_lat","nearest_precip_long","id_1","id_2"
"JA0027","JA0008","Alvai-JA0027-18G/1162-23-ODU-1(RTNRF-1)","Puloli-JA0008-18G/1162-23-ODU-1(RTNRF-1)","Jaffna","Jaffna",9.823611,9.81601,80.203611,80.2323,434000,0.002798351711197,9.8,80.067,547,2206
"JA0027","JA0008","Alvai-JA0027-18G/1162-24-ODU-1(RTNRF-1)","Puloli-JA0008-18G/1162-24-ODU-1(RTNRF-1)","Jaffna","Jaffna",9.823611,9.81601,80.203611,80.2323,434000,0.002798351711197,9.8,80.067,548,2207
"GM0151","GM0052","Naranwala-GM0151-23G/1064-23-ODU-1(RTNRF-1)","Weliweriya-GM0052-23G/1064-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.01058,7.03089,80.0233,80.0262,434670,0.001376624171524,6.822,79.886,549,2208
"GM0151","GM0052","Naranwala-GM0151-23G/1064-24-ODU-1(RTNRF-1)","Weliweriya-GM0052-23G/1064-24-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.01058,7.03089,80.0233,80.0262,434670,0.001376624171524,6.822,79.886,550,2209
"JA0022","JA0003","Chundukuli MTU-JA0022-18G/1159-23-ODU-1(RTNRF-1)","Jaffna_SLT-JA0003-18G/1159-23-ODU-1(RTNRF-1)","Jaffna","Jaffna",9.65571,9.66563,80.0335,80.006,434040,0.000401121837364,9.65,80.017,551,2210
"JA0022","JA0003","Chundukuli MTU-JA0022-18G/1159-25-ODU-1(RTNRF-1)","Jaffna_SLT-JA0003-18G/1159-25-ODU-1(RTNRF-1)","Jaffna","Jaffna",9.65571,9.66563,80.0335,80.006,434040,0.000401121837364,9.65,80.017,552,2211
"GM0035","GM0274","Minuwangoda-GM0035-18G/941-23-ODU-1(RTNRF-1)","Bulugahamulla-GM0274-18G/941-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.17394,7.16611,79.9589,79.9814,434760,0.000216478815221,6.817,80.967,553,2212
"MA0024","VA0028","Iranai_Irappaikulam-MA0024-11G/293-23-ODU-1(RTNRF-1)","Omantai_DTL-VA0028-11G/293-23-ODU-1(RTNRF-1)","Mannar","Vavnia",8.860833,8.891389,80.3625,80.505278,434150,0.00809376422469,8.75,80.5,554,2213
"MA0024","VA0028","Iranai_Irappaikulam-MA0024-11G/293-25-ODU-1(RTNRF-1)","Omantai_DTL-VA0028-11G/293-25-ODU-1(RTNRF-1)","Mannar","Vavnia",8.860833,8.891389,80.3625,80.505278,434150,0.00809376422469,8.75,80.5,555,2214
"AN0173","AN0023","Nelumbewa-AN0173-13G/859-23-ODU-1(RTNRF-1)","Galkulama-AN0023-13G/859-23-ODU-1(RTNRF-1)","Anuradapura","Anuradapura",8.269722,8.278889,80.413333,80.500833,434210,0.003511026272838,8.301,80.428,556,2215
