Site ID,Suntel ID,Site Name,Site Address,District,Province,Latitude-x,Longitude-x,Latitude,Longitude
MR0086,,Walasgala Dialog,"Dayawasa, Walasgala",Matara,Southern,5-59-3,80-42-0,5.98417,80.7
HA0009,,Walasmulla Dialog,"Kalebogahena, Morakandagoda, Walasmulla",Hambantota,Southern,6-9-9,80-42-14,6.1524,80.7038
HA0125,,Walasmulla Hutch,"Samagi Mawatha, Natuwala, Walasmulla",Hambantota,Southern,6-8-21,80-41-42,6.139167,80.695
KU0328,,Walaswewa Lankabell,"Walaswewa, Kobeigane",Kurunegala,NorthWestern,7-40-54,80-7-45,7.681667,80.129167
AM0114,,Walathapitiya Dialog,"Ismailpuram, Walathapitiya1 , Malwatta.",Ampara,Eastern,7-18-8.7,81-43-1,7.302417,81.716944
MR0113,,Walgama Mobitel,"Delgahaliyaddagoda, Walgama North, Walgama, Matara",Matara,Southern,5-57-1,80-30-45,5.95029,80.5124
KA0207,,Walgampaya Dialog,"Ririgahahena , Udawela",Kandy,Central,7-17-49,80-32-11,7.29687,80.5365
GM0228,,Walgamulla Airtel,"Walgamulla Junction, Kiridiwela.",Gampaha,Western,7-4-33,80-7-30,7.07597,80.125
JA0058,,Walikamam MTU,"Navaly South, Manipai",Jaffna,Northern,9-42-57,79-58-50,9.715833,79.980556
GM0173,,Walpita Dialog,"Heeralugedara,Walpita, Via Mirigama.",Gampaha,Western,7-15-32,80-2-43,7.25898,80.0452
GM0101,RAG/001,Walpola Hutch,"Hutchison Telecom, Walpola, Ragama",Gampaha,Western,7-2-45,79-55-40,7.04597,79.9277
GM0687,,Walpola South Dialog,"Boys town, Ragama",Gampaha,Western,7-2-26,79-55-17,7.040632,79.921407
CM0251,,Walukarama Road Dialog,"No-65, Walukarama Road, Colombo-03.",Colombo,Western,6-54-20,79-51-18,6.905556,79.855
GM0242,,Wanaluwawa Mobitel,"Wanaluwawa Waake, Wanaluwawa",Gampaha,Western,6-58-33,80-5-7,6.97581,80.0852
AN0143,,Wanamal Uyana Airtel,"Airtel Tower, Wanamal Uyana, Walagambahuwa.",Anuradapura,NorthCentral,8-10-24,80-31-53,8.173333,80.531389
CM0380,,Wanaratana Road Dialog,"No.01, Piyaratnarama Road, Dehiwala",Colombo,Western,6-51-23,79-52-34,6.856389,79.876111
PU0042,,Wanathawilluwa Etisalat,"12th mile post,Wanathavilluwa",Puttlam,NorthWestern,8-11-5,79-51-42,8.18484,79.8618
GM0049,,Wanawasala Dialog,"No.166, Wanawasala, Kelaniya",Gampaha,Western,6-58-29,79-53-51,6.97471,79.8976
GA0029,,Wanduramba Dialog,"Warakapitikanda, Pahalakeembiya.",Galle,Southern,6-7-15,80-14-16,6.12072,80.2379
