cell_tower_id1,cell_tower_id2,source1_name,source2_name,district1,district2,latitude1,latitude2,longitude1,longitude2,nearest_precip_station,distance,nearest_precip_lat,nearest_precip_long,id_1,id_2,PathLength
CM0953,CM0127,Fairway Sky Gardens Indoor-CM0953-23G/1523-23-ODU-1(RTNRF-1),Battaramulla-CM0127-23G/1523-23-ODU-1(RTNRF-1),Colombo,Colombo,6.913889,6.90607,79.903611,79.9149,Ibattara 2,1.1125097465273168,6.908296,79.91918,872,2531,1.5179812975050035
CM0158,CM0114,Narahenpita-CM0158-26G/1157-23-ODU-1(RTNRF-1),Torinton-CM0114-26G/1157-23-ODU-1(RTNRF-1),Colombo,Colombo,6.89684,6.899444,79.8767,79.871667,Ibattara 2,5.0981243406643015,6.908296,79.91918,1617,3276,0.62636744261421
CM0964,CM0150,Kollupitiya_South-CM0964-26G/869-24-ODU-1(RTNRF-1),Landmark-CM0150-26G/869-24-ODU-1(RTNRF-1),Colombo,Colombo,6.898333,6.903611,79.853333,79.8525,Ibattara 2,7.3679320941403725,6.908296,79.91918,601,2260,0.5909111413775826
CM0127,CM0067,Battaramulla-CM0127-18G/1231-25-ODU-1(RTNRF-1),Mirihana_RT-CM0067-18G/1231-25-ODU-1(RTNRF-1),Colombo,Colombo,6.90607,6.87192,79.9149,79.9051,Ibattara 2,2.363354257507127,6.908296,79.91918,953,2612,3.928900585150344
CM0088,CM0485,PARK_RD-CM0088-26G/1560-HY-23-ODU-1(RTNRF-1),NARAHENPITA_RD-CM0485-26G/1560-HY-23-ODU-1(RTNRF-1),Colombo,Colombo,6.889167,6.888056,79.875,79.883889,Ibattara 2,4.901474468619654,6.908296,79.91918,1595,3254,0.9900763187520412
CM0250,CM0174,Landmark_South-CM0250-23G/1743-23-ODU-1(RTNRF-1),Thursten-CM0174-23G/1743-23-ODU-1(RTNRF-1),Colombo,Colombo,6.902778,6.903611,79.854722,79.8575,Ibattara 2,6.993007578220576,6.908296,79.91918,877,2536,0.32054142206928427
GM0118,CM0424,Malwana-GM0118-13G/623-25-ODU-1(RTNRF-1),Malabe_S-CM0424-13G/623-25-ODU-1(RTNRF-1),Gampaha,Colombo,6.95196,6.894167,80.0225,79.96,Ibattara 2,8.130521740615292,6.908296,79.91918,1176,2835,9.410476948856864
CM0204,CM0127,Kalapaluwawa-CM0204-26G/1165-24-ODU-1(RTNRF-1),Battaramulla-CM0127-26G/1165-24-ODU-1(RTNRF-1),Colombo,Colombo,6.915278,6.90607,79.916389,79.9149,Ibattara 2,0.470989322458143,6.908296,79.91918,1282,2941,1.0315264890379994
CM0039,CM0004,Kalubowila_N-CM0039-26G/1357-24-ODU-1(RTNRF-1),Balapokuna-CM0004-26G/1357-24-ODU-1(RTNRF-1),Colombo,Colombo,6.872222,6.874722,79.875278,79.881111,Ibattara 2,5.94561199072468,6.908296,79.91918,74,1733,0.701473262738126
CM0158,CM0114,Narahenpita-CM0158-26G/1157-24-ODU-1(RTNRF-1),Torinton-CM0114-26G/1157-24-ODU-1(RTNRF-1),Colombo,Colombo,6.89684,6.899444,79.8767,79.871667,Ibattara 2,5.0981243406643015,6.908296,79.91918,1618,3277,0.62636744261421
CM0566,CM0046,Kirulapana_North-CM0566-26G/917-26-ODU-1(RTNRF-1),Kirulapana-CM0046-26G/917-26-ODU-1(RTNRF-1),Colombo,Colombo,6.882222,6.878889,79.876944,79.874722,Ibattara 2,5.688798793198348,6.908296,79.91918,1295,2954,0.4429159508441218
CM0926,CM1413,Mangala Rd-CM0926-23G/1731-23-ODU-1(RTNRF-1),Prathibimba_Re-CM1413-23G/1731-23-ODU-1(RTNRF-1),Colombo,Colombo,6.85942,6.859722,79.8796,79.873889,Ibattara 2,7.143722807807565,6.908296,79.91918,1196,2855,0.6321079118751995
GM0167,GM0570,Biyagama_EPZ-GM0167-26G/891-23-ODU-1(RTNRF-1),MAS_Unichel_Biya_Ind-GM0570-26G/891-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.953889,6.9625,80.007778,79.9525,Ibattara 2,8.70826089620806,6.908296,79.91918,1366,3025,6.182281346362955
CM0046,CM0084,Kirulapana-CM0046-26G/913-23-ODU-1(RTNRF-1),Pamankada-CM0084-26G/913-23-ODU-1(RTNRF-1),Colombo,Colombo,6.878889,6.876667,79.874722,79.866111,Ibattara 2,6.358906573644501,6.908296,79.91918,120,1779,0.9829315587294583
GM0027,GM0014,Kelaniya-GM0027-18G/1337-23-ODU-1(RTNRF-1),Gonawala-GM0014-18G/1337-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.95735,6.95484,79.9163,79.9481,Ibattara 2,5.478438919647673,6.908296,79.91918,899,2558,3.5250218432319507
CM1203,CM0079,MAS_Active_Cmb_Ind-CM1203-26G/1260-24-ODU-1(RTNRF-1),Nugegoda_North-CM0079-26G/1260-24-ODU-1(RTNRF-1),Colombo,Colombo,6.898056,6.880833,79.854167,79.890833,Ibattara 2,5.564336861276694,6.908296,79.91918,1352,3011,4.477669065471396
CM1300,CM0745,British_Council-CM1300-26G/1408-23-ODU-1(RTNRF-1),McLarence_Buildng_IBS-CM0745-26G/1408-23-ODU-1(RTNRF-1),Colombo,Colombo,6.899722,6.896389,79.856667,79.856944,Ibattara 2,6.9859024945829935,6.908296,79.91918,272,1931,0.3698665750973602
CM0127,CM0265,Battaramulla-CM0127-26G/1275-23-ODU-1(RTNRF-1),Waters_Edge_Ind-CM0265-26G/1275-23-ODU-1(RTNRF-1),Colombo,Colombo,6.90607,6.91036,79.9149,79.9159,Ibattara 2,0.4178490102893234,6.908296,79.91918,627,2286,0.48713467525503706
CM0345,CM0994,Korathota-CM0345-23G/830-24-ODU-1(RTNRF-1),Pittugala-CM0994-23G/830-24-ODU-1(RTNRF-1),Colombo,Colombo,6.90931,6.91053,79.9973,79.9847,Ibattara 2,7.939324344437184,6.908296,79.91918,1461,3120,1.3990260277713504
CM0632,CM0035,Kaduwela_Town-CM0632-26G/1363-23-ODU-1(RTNRF-1),Kaduwela DBN-CM0035-26G/1363-23-ODU-1(RTNRF-1),Colombo,Colombo,6.9358,6.93286,79.9839,79.9847,Ibattara 2,7.751194362293648,6.908296,79.91918,487,2146,0.3369413164218599
CM0124,CM0425,Angoda-CM0124-23G/1313-23-ODU-1(RTNRF-1),Aggona_RT-CM0425-23G/1313-23-ODU-1(RTNRF-1),Colombo,Colombo,6.930278,6.915833,79.928056,79.923333,Ibattara 2,1.7839830917107646,6.908296,79.91918,1442,3101,1.6805872150230028
CM0127,CM0906,Battaramulla-CM0127-26G/1234-23-ODU-1(RTNRF-1),Sethsiripaya_Ind-CM0906-26G/1234-23-ODU-1(RTNRF-1),Colombo,Colombo,6.90607,6.903611,79.9149,79.915278,Ibattara 2,0.59198984588251,6.908296,79.91918,1468,3127,0.2751316776647737
CM0034,CM0453,Jubilee_Post-CM0034-26G/1152-23-ODU-1(RTNRF-1),Pagoda-CM0453-26G/1152-23-ODU-1(RTNRF-1),Colombo,Colombo,6.87621,6.878333,79.9001,79.896667,Ibattara 2,4.129723415762016,6.908296,79.91918,1169,2828,0.44619381076935327
CM0037,CM0380,Kalubowila-CM0037-26G/1163-23-ODU-1(RTNRF-1),Wanarathana_Rd-CM0380-26G/1163-23-ODU-1(RTNRF-1),Colombo,Colombo,6.865833,6.856389,79.879444,79.876111,Ibattara 2,6.940345891689253,6.908296,79.91918,1245,2904,1.107478572962775
GM0405,GM0015,Hunupitiya_LB-GM0405-23G/1391-23-ODU-1(RTNRF-1),Handala-GM0015-23G/1391-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.98464,6.9977,79.9019,79.886,Ibattara 2,9.579777889567884,6.908296,79.91918,683,2342,2.2743720080809893
CM0127,CM0802,Battaramulla-CM0127-26G/1210-24-ODU-1(RTNRF-1),Madinnagoda_South-CM0802-26G/1210-24-ODU-1(RTNRF-1),Colombo,Colombo,6.90607,6.9101,79.9149,79.907,Ibattara 2,0.909851523726236,6.908296,79.91918,748,2407,0.9802560418317469
GM0009,GM0071,Enderamulla-GM0009-23G/1517-23-ODU-1(RTNRF-1),Hunupitiya_N-GM0071-23G/1517-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.99205,7.003056,79.9128,79.911667,Ibattara 2,9.90078365210183,6.908296,79.91918,293,1952,1.2235832628377281
CM0127,CM0265,Battaramulla-CM0127-26G/1275-24-ODU-1(RTNRF-1),Waters_Edge_Ind-CM0265-26G/1275-24-ODU-1(RTNRF-1),Colombo,Colombo,6.90607,6.91036,79.9149,79.9159,Ibattara 2,0.4178490102893234,6.908296,79.91918,628,2287,0.48713467525503706
CM0047,CM0004,Kohuwala_RT-CM0047-26G/843-23-ODU-1(RTNRF-1),Balapokuna-CM0004-26G/843-23-ODU-1(RTNRF-1),Colombo,Colombo,6.869167,6.874722,79.881944,79.881111,Ibattara 2,5.7860626151666015,6.908296,79.91918,904,2563,0.6211890244744582
CM0250,CM0174,Landmark_South-CM0250-23G/1743-24-ODU-1(RTNRF-1),Thursten-CM0174-23G/1743-24-ODU-1(RTNRF-1),Colombo,Colombo,6.902778,6.903611,79.854722,79.8575,Ibattara 2,6.993007578220576,6.908296,79.91918,878,2537,0.32054142206928427
CM0961,CM0174,Thummulla_North-CM0961-26G/770-24-ODU-1(RTNRF-1),Thursten-CM0174-26G/770-24-ODU-1(RTNRF-1),Colombo,Colombo,6.896944,6.903611,79.860278,79.8575,Ibattara 2,6.721964242545973,6.908296,79.91918,1654,3313,0.7986745465644531
CM0158,CM0093,Narahenpita-CM0158-23G/1307-23-ODU-1(RTNRF-1),Polhengoda_East-CM0093-23G/1307-23-ODU-1(RTNRF-1),Colombo,Colombo,6.89684,6.885278,79.8767,79.880556,Ibattara 2,4.870305501332839,6.908296,79.91918,1580,3239,1.347794818626054
CM0156,CM0847,MT_LAVINIA-CM0156-26G/1544-HY-23-ODU-1(RTNRF-1),ATTIDIYA_WEST-CM0847-26G/1544-HY-23-ODU-1(RTNRF-1),Colombo,Colombo,6.84257,6.841419,79.8669,79.874369,Ibattara 2,9.085741751906497,6.908296,79.91918,38,1697,0.8353186664615052
CM0127,CM0901,Battaramulla Dialog-CM0127-23G/1693-23-ODU-1(RTNRF-1),Ramya_Mw-CM0901-23G/1693-23-ODU-1(RTNRF-1),Colombo,Colombo,6.90607,6.909861,79.9149,79.924828,Ibattara 2,0.08396591545435081,6.908296,79.91918,1280,2939,1.1745802810761108
